Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
South of Broad,Pat Conroy,2009-01-01,4.5,4074,Hardcover,15.12
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,2009-01-01,4.6,5203,Paperback,10.59
The Host,Stephenie Meyer,2009-01-01,4.6,13322,Hardcover,15.99
Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,Jillian Michaels,2009-01-01,4.3,1037,Hardcover,9.84
Ford County: Stories,John Grisham,2009-01-01,4.4,8075,Hardcover,13.57
"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",Michelle Malkin,2009-01-01,4.6,1120,Hardcover,8.87
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2009-01-01,4.5,12910,Paperback,12.73
"Diary of a Wimpy Kid, Book 1",Jeff Kinney,2009-01-01,4.6,27221,Hardcover,12.28
The Graveyard Book,Neil Gaiman,2009-01-01,4.7,14205,Hardcover,10.05
An Echo in the Bone (Outlander),Diana Gabaldon,2009-01-01,4.7,34313,Hardcover,25.99
"The Gathering Storm (Wheel of Time, Book 12)",Robert Jordan,2009-01-01,4.8,12902,Hardcover,20.99
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,2009-01-01,4.7,10531,Paperback,10.7
Pirate Latitudes: A Novel,Michael Crichton,2009-01-01,4.2,6633,Hardcover,15.98
The Official SAT Study Guide: For the New SAT (tm),The College Board,2009-01-01,4.4,273,Paperback,71.93
Getting Things Done: The Art of Stress-Free Productivity,David Allen,2009-01-01,4.5,5249,Paperback,16.7
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,2009-01-01,4.7,111894,Paperback,10.3
The Official SAT Study Guide,The College Board,2009-01-01,4.4,1558,Paperback,1.89
Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),Janet Evanovich,2009-01-01,4.5,7298,Hardcover,10.5
Sarah's Key,Tatiana de Rosnay,2009-01-01,4.5,11119,Paperback,10.25
From Dead to Worse (Sookie Stackhouse/True Blood),Charlaine Harris,2009-01-01,4.6,3331,Mass Market Paperback,7.99
Wolf Hall,Hilary Mantel,2009-01-01,4.2,20006,Hardcover,23.35
The Hunger Games,Suzanne Collins,2009-01-01,4.7,80788,Hardcover,12.79
The Yankee Years,Joe Torre,2009-01-01,4.6,516,Hardcover,14.79
Push: A Novel,Sapphire,2009-01-01,4.6,1519,Paperback,1.08
The End of Overeating: Taking Control of the Insatiable American Appetite,David Kessler,2009-01-01,4.3,1121,Hardcover,14.94
The Lacuna: A Novel,Barbara Kingsolver,2009-01-01,4.4,3780,Hardcover,19.99
Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,2009-01-01,4.5,792,Paperback,20.99
Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Nicholas D. Kristof,2009-01-01,4.6,2984,Hardcover,8.98
The Associate,John Grisham,2009-01-01,4.4,7305,Hardcover,9.0
Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,Jeff Hertzberg,2009-01-01,4.7,2264,Hardcover,20.45
Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),Sarah Thomson,2009-01-01,4.4,359,Paperback,9.62
Pursuit of Honor,Vince Flynn,2009-01-01,4.6,8373,Hardcover,11.92
What the Dog Saw: And Other Adventures,Malcolm Gladwell,2009-01-01,4.4,3460,Hardcover,18.18
The Last Song,Nicholas Sparks,2009-01-01,4.6,6373,Hardcover,13.25
Atlas Shrugged,Ayn Rand,2009-01-01,4.5,19487,Paperback,14.77
The White Tiger: A Novel,Aravind Adiga,2009-01-01,4.2,11007,Paperback,10.79
"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,2009-01-01,3.5,790,Hardcover,18.0
"Same Kind of Different As Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,2009-01-01,4.6,11550,Paperback,10.24
U is for Undertow: A Kinsey Millhone Novel,Sue Grafton,2009-01-01,4.5,6702,Hardcover,12.1
Catching Fire (The Hunger Games),Suzanne Collins,2009-01-01,4.7,64888,Hardcover,11.64
