Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,2011-01-01,4.3,36838,Hardcover,10.65
Moonwalking With Einstein: The Art and Science of Remembering Everything,Joshua Foer,2011-01-01,4.5,9840,Hardcover,14.63
The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,2011-01-01,4.4,15470,Paperback,6.84
The Help,Kathryn Stockett,2011-01-01,4.7,33007,Hardcover,15.0
1Q84: A novel,Haruki Murakami,2011-01-01,4.4,9185,Hardcover,3.65
Boomerang: Travels in the New Third World,Michael Lewis,2011-01-01,4.4,3303,Hardcover,14.49
Who Moved My Cheese,Spencer Johnson,2011-01-01,4.6,24704,Hardcover,12.99
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,2011-01-01,4.5,2625,Hardcover,15.52
Elder Scrolls V: Skyrim: Prima Official Game Guide,David Hodgson,2011-01-01,4.6,1873,Paperback,5.01
The Glass Castle: A Memoir (book),Jeannette Walls,2011-01-01,4.6,39288,Paperback,9.68
The Book Thief,Markus Zusak,2011-01-01,4.6,67269,Paperback,7.83
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,2011-01-01,4.5,25790,Hardcover,13.79
"Oh, the Places You'll Go!  ",Dr. Seuss,2011-01-01,4.9,48035,Hardcover,7.49
Through My Eyes,Tim Tebow,2011-01-01,4.8,458,Hardcover,12.34
The Land of Painted Caves: A Novel (Earth's Children),Jean M. Auel,2011-01-01,4.2,9702,Hardcover,18.2
"The Social Animal: The Hidden Sources of Love, Character, and Achievement",David Brooks,2011-01-01,4.4,1217,Hardcover,17.08
A Guide to the Project Management Body of Knowledge,Project Management Institute,2011-01-01,4.4,755,Paperback,13.0
Guinness World Records 2012,Guinness World Records,2011-01-01,4.5,511,Hardcover,14.0
State of Wonder,Ann Patchett,2011-01-01,4.3,9859,Hardcover,17.58
A Visit from the Goon Squad,Jennifer Egan,2011-01-01,4.0,10427,Paperback,10.82
"Prevent And Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",Caldwell B. Esselstyn Jr.,2011-01-01,4.6,6397,Paperback,12.79
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,2011-01-01,4.9,112387,Paperback,45.44
Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels),Janet Evanovich,2011-01-01,4.5,9570,Hardcover,11.99
The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,2011-01-01,4.6,12909,Paperback,9.66
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,2011-01-01,4.6,5707,Hardcover,15.0
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,2011-01-01,4.7,24835,Hardcover,13.23
Room,Emma Donoghue,2011-01-01,4.3,31316,Paperback,10.32
Hotel on the Corner of Bitter and Sweet,Jamie Ford,2011-01-01,4.5,14007,Paperback,11.99
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2011-01-01,4.4,8357,Paperback,14.99
Emotional Intelligence 2.0,Travis Bradberry,2011-01-01,4.5,12653,Hardcover,14.98
Outliers: The Story of Success,Malcolm Gladwell,2011-01-01,4.6,35961,Paperback,16.99
Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,Gene Stone,2011-01-01,4.5,3205,Paperback,23.49
The Girl Who Played with Fire: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series),Stieg Larsson,2011-01-01,4.6,25388,Paperback,9.99
"Hungry Girl 300 Under 300: 300 Breakfast, Lunch & Dinner Dishes Under 300 Calories",Lisa Lillien,2011-01-01,4.4,1182,Paperback,22.77
The Alchemist,Paulo Coelho,2011-01-01,4.7,3977,Paperback,18.62
Getting Things Done: The Art of Stress-Free Productivity,David Allen,2011-01-01,4.5,5249,Paperback,16.7
The Invention of Hugo Cabret,Brian Selznick,2011-01-01,4.8,3076,Hardcover,15.69
"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,2011-01-01,3.5,790,Hardcover,18.0
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,2011-01-01,4.5,8299,Paperback,9.99
Smokin' Seventeen (Stephanie Plum),Janet Evanovich,2011-01-01,4.5,7635,Hardcover,10.6
The Big Short: Inside the Doomsday Machine,Michael Lewis,2011-01-01,4.6,15986,Paperback,11.95
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,2011-01-01,4.7,23862,Paperback,9.99
The Official Guide for GMAT Review,GMAC (Graduate Management Admission Council),2011-01-01,4.4,309,Paperback,17.32
"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",E L James,2012-01-01,4.2,111849,Paperback,13.99
Fifty Shades Darker,E L James,2012-01-01,4.5,75918,Paperback,10.41
"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",E L James,2012-01-01,4.5,61910,Paperback,11.8
The Hunger Games (Book 1),Suzanne Collins,2012-01-01,4.7,80788,Paperback,7.19
StrengthsFinder 2.0,Gallup,2012-01-01,4.1,8179,Hardcover,20.96
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,2012-01-01,4.6,69965,Paperback,23.69
Catching Fire (The Hunger Games),Suzanne Collins,2012-01-01,4.7,64888,Hardcover,11.64
Mockingjay (The Hunger Games),Suzanne Collins,2012-01-01,4.6,79851,Hardcover,11.44
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,2012-01-01,4.7,20593,Hardcover,12.72
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,2012-01-01,4.6,14261,Hardcover,15.49
The Hunger Games Trilogy Boxed Set,Suzanne Collins,2012-01-01,4.8,47121,Hardcover,38.6
Gone Girl,Gillian Flynn,2012-01-01,4.1,161550,Hardcover,16.98
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,2012-01-01,4.8,31597,Hardcover,11.37
The Official SAT Study Guide,The College Board,2012-01-01,4.4,1558,Paperback,1.87
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2012-01-01,4.7,8392,Mass Market Paperback,8.5
Killing Kennedy: The End of Camelot,Bill O'Reilly,2012-01-01,4.5,15518,Hardcover,19.25
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2012-01-01,4.5,12971,Paperback,15.38
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,2012-01-01,4.6,15073,Hardcover,11.99
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2012-01-01,4.7,75431,Hardcover,15.68
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,2012-01-01,4.4,23622,Paperback,11.39
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2012-01-01,4.7,4964,Paperback,22.76
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,2012-01-01,4.8,2550,Hardcover,18.29
"Thinking, Fast and Slow",Daniel Kahneman,2012-01-01,4.6,40490,Hardcover,19.49
The Casual Vacancy,J.K. Rowling,2012-01-01,3.6,20714,Hardcover,12.69
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,2012-01-01,4.7,24230,Paperback,10.59
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,2012-01-01,4.6,37122,Hardcover,15.61
Steve Jobs,Walter Isaacson,2012-01-01,4.7,23436,Hardcover,18.29
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,2012-01-01,4.4,10839,Hardcover,13.69
"Oh, the Places You'll Go!  ",Dr. Seuss,2012-01-01,4.9,48035,Hardcover,7.49
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2012-01-01,4.6,1762,Paperback,24.99
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,2012-01-01,4.6,12414,Hardcover,20.14
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,2012-01-01,4.5,32115,Hardcover,15.1
The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,2012-01-01,4.4,15470,Paperback,6.84
The Racketeer,John Grisham,2012-01-01,4.2,69480,Hardcover,17.38
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now! (The Dr. Mark Hyman Library, 1)",Mark Hyman M.D.,2012-01-01,4.3,2718,Hardcover,15.99
"Goodnight, Goodnight, Construction Site",Sherri Duskey Rinker,2012-01-01,4.9,22805,Hardcover,11.4
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2012-01-01,4.6,27816,Paperback,13.09
The Fault in Our Stars,John Green,2012-01-01,4.6,160020,Hardcover,10.8
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,2012-01-01,4.8,10136,Hardcover,11.29
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,2012-01-01,4.6,5454,Hardcover,12.0
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012-01-01,4.4,72398,Hardcover,23.0
Winter of the World: Book Two of the Century Trilogy,Ken Follett,2012-01-01,4.5,48802,Hardcover,15.99
The Pioneer Woman Cooks―Food from My Frontier,Ree Drummond,2012-01-01,4.8,4844,Hardcover,14.1
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,2012-01-01,4.5,10236,Hardcover,22.49
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,2012-01-01,4.6,24987,Paperback,10.49
"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2012-01-01,4.9,43004,Hardcover,8.89
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,2012-01-01,4.5,11195,Paperback,12.99
Thomas Jefferson: The Art of Power,Jon Meacham,2012-01-01,4.5,4059,Hardcover,18.96
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2012-01-01,4.5,8445,Hardcover,18.29
The Amateur,Edward Klein,2012-01-01,4.4,3302,Hardcover,9.64
The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,Deb Perelman,2012-01-01,4.7,1970,Hardcover,18.29
What to Expect When You're Expecting,Heidi Murkoff,2012-01-01,4.8,32912,Paperback,17.43
The Walking Dead: Compendium One,Robert Kirkman,2012-01-01,4.8,8694,Paperback,38.99
The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,Nate Silver,2012-01-01,4.4,3704,Hardcover,19.82
How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),The Oatmeal,2012-01-01,4.5,12824,Paperback,7.77
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,2012-01-01,4.6,47713,Hardcover,19.0
America Again: Re-becoming the Greatness We Never Weren't,Stephen Colbert,2012-01-01,4.3,651,Hardcover,13.02
LEGO NINJAGO: Character Encyclopedia,DK Publishing,2012-01-01,4.5,1036,Hardcover,3.57
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,2012-01-01,4.5,42393,Hardcover,19.5
Outliers: The Story of Success,Malcolm Gladwell,2012-01-01,4.6,35961,Paperback,16.99
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,2012-01-01,4.5,884,Paperback,17.45
Bared to You,Sylvia Day,2012-01-01,4.4,32524,Paperback,19.0
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2012-01-01,4.7,107961,Paperback,7.74
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,2012-01-01,4.5,2625,Hardcover,15.52
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,2012-01-01,4.3,3215,Hardcover,18.98
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2012-01-01,4.7,2262,Paperback,17.16
Go the F**k to Sleep,Adam Mansbach,2012-01-01,4.8,22520,Hardcover,13.38
Bring Up the Bodies,Hilary Mantel,2012-01-01,4.5,18761,Hardcover,16.25
"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",Jim Collins,2012-01-01,4.6,1594,Hardcover,15.69
Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,Joel Fuhrman MD,2012-01-01,4.5,11195,Mass Market Paperback,17.99
"Reflected in You (Crossfire, Book 2)",Sylvia Day,2012-01-01,4.6,23743,Paperback,16.0
Who Moved My Cheese,Spencer Johnson,2012-01-01,4.6,24704,Hardcover,12.99
The Book Thief,Markus Zusak,2012-01-01,4.6,67269,Paperback,7.83
A Guide to the Project Management Body of Knowledge,Project Management Institute,2012-01-01,4.4,755,Paperback,13.0
"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,2012-01-01,4.2,9096,Hardcover,14.25
"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",Charlaine Harris,2012-01-01,4.5,6733,Hardcover,17.4
"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,2012-01-01,4.6,11999,Paperback,16.99
Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,Gene Stone,2012-01-01,4.5,3205,Paperback,23.49
The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,2012-01-01,4.9,12651,Hardcover,11.69
Notorious Nineteen: A Stephanie Plum Novel,Janet Evanovich,2012-01-01,4.5,14612,Hardcover,14.7
"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",Timothy Ferriss,2012-01-01,4.5,3212,Hardcover,28.31
Cloud Atlas,David Mitchell,2012-01-01,4.3,11192,Paperback,11.69
The Alchemist,Paulo Coelho,2012-01-01,4.7,3977,Paperback,18.62
The Hunger Games,Suzanne Collins,2012-01-01,4.7,80788,Hardcover,12.79
"Help, Thanks, Wow: The Three Essential Prayers",Anne Lamott,2012-01-01,4.6,3035,Hardcover,10.7
Wonder,R. J. Palacio,2012-01-01,4.7,83319,Hardcover,9.4
"Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever",Woo Myung,2012-01-01,4.0,57,Hardcover,1.85
"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story",Mary C. Neal,2012-01-01,4.5,6837,Paperback,9.39
"Forks Over Knives―The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",Del Sroufe,2012-01-01,4.5,13679,Paperback,10.99
Catching Fire (Hunger Games),Suzanne Collins,2012-01-01,4.7,64888,Paperback,0.99
"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",Robert Jordan,2012-01-01,4.8,26092,Hardcover,20.99
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,2012-01-01,4.7,20981,Hardcover,11.88
The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,2012-01-01,4.6,12909,Paperback,9.66
The Passage of Power: The Years of Lyndon Johnson,Robert A. Caro,2012-01-01,4.7,2378,Hardcover,35.78
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,2012-01-01,4.8,5748,Hardcover,14.39
"Divine Healing Hands: Experience Divine Power to Heal You, Animals, and Nature, and to Transform All Life (Soul Power)",Zhi Gang Sha Dr.,2012-01-01,4.6,160,Hardcover,17.31
"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,2012-01-01,4.7,6462,Paperback,0.75
The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Timothy Keller,2012-01-01,4.8,7957,Hardcover,21.49
Night (Night),Elie Wiesel,2012-01-01,4.7,20176,Paperback,6.27
StrengthsFinder 2.0,Gallup,2013-01-01,4.1,8179,Hardcover,20.96
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,2013-01-01,4.5,17084,Hardcover,14.94
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,2013-01-01,4.6,26426,Hardcover,1.08
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,2013-01-01,4.9,10201,Hardcover,11.36
"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2013-01-01,4.9,43004,Hardcover,8.89
Inferno: A Novel (Robert Langdon),Dan Brown,2013-01-01,4.2,82437,Hardcover,15.59
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,2013-01-01,4.8,34146,Hardcover,12.2
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,2013-01-01,4.6,11066,Hardcover,11.96
The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,2013-01-01,4.4,15470,Paperback,6.84
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,2013-01-01,4.5,21075,Hardcover,19.39
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,2013-01-01,4.4,23622,Paperback,11.39
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,2013-01-01,4.7,13022,Paperback,93.49
The Official SAT Study Guide,The College Board,2013-01-01,4.4,1558,Paperback,1.87
The Fault in Our Stars,John Green,2013-01-01,4.6,160020,Hardcover,10.8
The Book Thief,Markus Zusak,2013-01-01,4.6,67269,Paperback,7.83
Wonder,R. J. Palacio,2013-01-01,4.7,83319,Hardcover,9.4
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2013-01-01,4.7,4964,Paperback,22.76
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2013-01-01,4.5,12971,Paperback,15.38
Divergent,Veronica Roth,2013-01-01,4.7,17844,Paperback,12.85
Laugh-Out-Loud Jokes for Kids,Rob Elliott,2013-01-01,4.6,11767,Paperback,4.99
"Oh, the Places You'll Go!  ",Dr. Seuss,2013-01-01,4.9,48035,Hardcover,7.49
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,2013-01-01,4.4,13530,Hardcover,9.99
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2013-01-01,4.7,8392,Mass Market Paperback,8.5
Allegiant,Veronica Roth,2013-01-01,4.1,66896,Hardcover,11.72
And the Mountains Echoed,Khaled Hosseini,2013-01-01,4.3,40057,Hardcover,12.98
Humans of New York,Brandon Stanton,2013-01-01,4.8,5582,Hardcover,15.67
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,2013-01-01,4.9,10385,Hardcover,25.49
Doctor Sleep: A Novel,Stephen King,2013-01-01,4.6,41120,Hardcover,14.89
Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,2013-01-01,4.5,5945,Paperback,4.99
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,2013-01-01,4.1,124189,Hardcover,18.5
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2013-01-01,4.7,107961,Paperback,7.74
Gone Girl,Gillian Flynn,2013-01-01,4.1,161550,Hardcover,16.98
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,2013-01-01,4.5,10558,Hardcover,15.52
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,2013-01-01,4.5,32115,Paperback,12.85
"Goodnight, Goodnight, Construction Site",Sherri Duskey Rinker,2013-01-01,4.9,22805,Hardcover,11.4
Sycamore Row (Jake Brigance),John Grisham,2013-01-01,4.4,92903,Hardcover,16.77
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,2013-01-01,4.4,10839,Hardcover,13.69
"The Pioneer Woman Cooks―A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,2013-01-01,4.8,5159,Hardcover,15.67
The Day the Crayons Quit,Drew Daywalt,2013-01-01,4.8,22782,Hardcover,9.4
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,2013-01-01,4.7,5883,Hardcover,13.2
The Very Hungry Caterpillar,Eric Carle,2013-01-01,4.9,59834,Board book,5.57
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,2013-01-01,4.7,29028,Hardcover,14.24
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2013-01-01,4.6,1762,Paperback,24.99
Joyland (Hard Case Crime),Stephen King,2013-01-01,4.5,16808,Paperback,14.95
"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",E L James,2013-01-01,4.2,111849,Paperback,13.99
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",Zhi Gang Sha,2013-01-01,4.6,289,Hardcover,14.0
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,2013-01-01,4.2,3333,Hardcover,12.0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,2013-01-01,4.6,12884,Paperback,12.09
To Kill a Mockingbird,Harper Lee,2013-01-01,4.7,130590,Mass Market Paperback,21.34
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,2013-01-01,4.6,12414,Hardcover,20.14
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2013-01-01,4.7,75431,Hardcover,15.68
Ender's Game (The Ender Quintet),Orson Scott Card,2013-01-01,4.6,39932,Mass Market Paperback,0.99
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,2013-01-01,4.7,40372,Paperback,12.85
"The Cuckoo's Calling (A Cormoran Strike Novel, 1)",Robert Galbraith,2013-01-01,4.2,71119,Hardcover,15.25
What to Expect When You're Expecting,Heidi Murkoff,2013-01-01,4.8,32912,Paperback,17.43
America the Beautiful: Rediscovering What Made This Nation Great,Ben Carson  M.D.,2013-01-01,4.7,4610,Paperback,7.61
The Liberty Amendments: Restoring the American Republic,Mark R. Levin,2013-01-01,4.8,4338,Hardcover,13.99
ZEALOT: The Life and Times of Jesus of Nazareth,Reza Aslan,2013-01-01,4.4,10817,Hardcover,15.52
The One and Only Ivan: A Newbery Award Winner,Katherine Applegate,2013-01-01,4.8,26180,Hardcover,10.64
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2013-01-01,4.5,8445,Hardcover,18.29
SI-COLOGY 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle,Si Robertson,2013-01-01,4.7,2568,Hardcover,9.9
"IT'S ALL GOOD: Delicious, Easy Recipes That Will Make You Look Good and Feel Great",Gwyneth Paltrow,2013-01-01,4.5,1471,Hardcover,24.9
Outliers: The Story of Success,Malcolm Gladwell,2013-01-01,4.6,35961,Paperback,16.99
Jerusalem: A Cookbook,Yotam Ottolenghi,2013-01-01,4.8,5553,Hardcover,19.29
"Becoming a Supple Leopard: Movement, Mobility, and Maintenance of the Human Animal",Kelly Starrett,2013-01-01,4.7,1503,Hardcover,50.41
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,2013-01-01,4.5,10863,Hardcover,13.95
Looking for Alaska,John Green,2013-01-01,4.5,31761,Paperback,7.64
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,2013-01-01,4.5,19928,Hardcover,18.2
Love You Forever,Robert Munsch,2013-01-01,4.9,59707,Paperback,4.98
The Perks of Being a Wallflower,Stephen Chbosky,2013-01-01,4.7,38357,Paperback,11.22
Practical Paleo: A Customized Approach to Health and a Whole-Foods Lifestyle,Diane Sanfilippo,2013-01-01,4.6,4689,Paperback,11.98
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,2013-01-01,4.6,69965,Paperback,23.69
"The FastDiet: Lose Weight, Stay Healthy, and Live Longer with the Simple Secret of Intermittent Fasting",Dr Dr Michael Mosley,2013-01-01,4.3,14229,Hardcover,12.88
The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,2013-01-01,4.9,12651,Hardcover,11.69
Divergent / Insurgent,Veronica Roth,2013-01-01,4.5,60255,Hardcover,9.44
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,2013-01-01,4.7,111894,Paperback,10.3
"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",Doris Kearns Goodwin,2013-01-01,4.5,4151,Hardcover,23.74
The Hunger Games (Book 1),Suzanne Collins,2013-01-01,4.7,80788,Paperback,7.19
ObamaCare Survival Guide: The Affordable Care Act and What It Means for You and Your Healthcare,Nick J. Tate,2013-01-01,3.8,1007,Paperback,9.99
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,2013-01-01,4.7,24230,Paperback,10.59
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2013-01-01,4.6,27816,Paperback,13.09
Night (Night),Elie Wiesel,2013-01-01,4.7,20176,Paperback,6.27
Fifty Shades Darker,E L James,2013-01-01,4.5,75918,Paperback,10.41
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,2013-01-01,4.5,11195,Paperback,12.99
"Forks Over Knives―The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",Del Sroufe,2013-01-01,4.5,13679,Paperback,10.99
"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",E L James,2013-01-01,4.5,61910,Paperback,11.8
The Alchemist,Paulo Coelho,2013-01-01,4.7,3977,Paperback,18.62
The Catcher in the Rye,J.D. Salinger,2013-01-01,4.4,37763,Mass Market Paperback,8.93
Mindset: The New Psychology of Success,Carol S. S. Dweck,2013-01-01,4.6,23649,Paperback,11.66
"Wheat Belly Cookbook: 150 Recipes to Help You Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,2013-01-01,4.4,2363,Hardcover,16.5
MyMathLab: Student Access Kit,Addison-Wesley Nivaldo J. Addison-Wesley,2013-01-01,4.2,4651,Printed Access Code,71.4
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,2013-01-01,4.8,26302,Paperback,7.93
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,2013-01-01,4.6,37122,Hardcover,15.61
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,2013-01-01,4.5,11486,Hardcover,12.56
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,2013-01-01,4.5,2625,Hardcover,15.52
