,Rank,Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
239,44,The Paris Wife: A Novel,Paula McLain,2011,4.3,"13,391",Hardcover,15.40
240,45,Radical: Taking Back Your Faith from the American Dream,David Platt,2011,4.7,"3,271",Paperback,9.36
241,46,The Art of Racing in the Rain: A Novel,Garth Stein,2011,4.6,"31,722",Paperback,10.78
242,47,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,2011,4.5,884,Paperback,17.45
243,48,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",,2011,4.5,Joel Fuhrman MD,Paperback,12.99
244,49,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",,2011,4.7,Thomas Campbell,Paperback,
245,50,What to Expect When You're Expecting,Heidi Murkoff,2011,4.8,"32,912",Paperback,17.43
246,51,The Best of Me,Nicholas Sparks,2011,4.5,"16,069",Hardcover,19.96
247,52,Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy,,2011,4.3,Jacqueline Kennedy,Hardcover,40.74
248,53,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,2011,4.5,"31,491",Paperback,10.07
249,54,The Greater Journey: Americans in Paris,David McCullough,2011,4.5,"2,495",Hardcover,20.00
250,55,Switch: How to Change Things When Change Is Hard,Chip Heath,2011,4.6,"5,549",Hardcover,10.49
251,56,Every Thing On It,Shel Silverstein,2011,4.9,"1,914",Hardcover,11.99
252,57,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,2011,4.3,"36,838",Hardcover,10.65
253,58,Moonwalking With Einstein: The Art and Science of Remembering Everything,Joshua Foer,2011,4.5,"9,840",Hardcover,14.63
254,59,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,2011,4.4,"15,470",Paperback,6.84
255,60,The Help,Kathryn Stockett,2011,4.7,"33,007",Hardcover,15.00
256,61,1Q84: A novel,Haruki Murakami,2011,4.4,"9,185",Hardcover,
257,62,Boomerang: Travels in the New Third World,Michael Lewis,2011,4.4,"3,303",Hardcover,14.49
258,63,Who Moved My Cheese,Spencer Johnson,2011,4.6,"24,704",Hardcover,12.99
259,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,2011,4.5,"2,625",Hardcover,15.52
260,65,Elder Scrolls V: Skyrim: Prima Official Game Guide,,2011,4.6,David Hodgson,Paperback,
261,66,The Glass Castle: A Memoir (book),Jeannette Walls,2011,4.6,"39,288",Paperback,9.68
262,67,The Book Thief,Markus Zusak,2011,4.6,"67,269",Paperback,7.83
263,68,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,2011,4.5,"25,790",Hardcover,13.79
264,69,"Oh, the Places You'll Go!  ",Dr. Seuss,2011,4.9,"48,035",Hardcover,7.49
265,70,Through My Eyes,Tim Tebow,2011,4.8,458,Hardcover,12.34
266,71,The Land of Painted Caves: A Novel (Earth's Children),Jean M. Auel,2011,4.2,"9,702",Hardcover,18.20
267,72,"The Social Animal: The Hidden Sources of Love, Character, and Achievement",David Brooks,2011,4.4,"1,217",Hardcover,17.08
268,73,A Guide to the Project Management Body of Knowledge,Project Management Institute,2011,4.4,755,Paperback,13.00
269,74,Guinness World Records 2012,Guinness World Records,2011,4.5,511,Hardcover,14.00
270,75,State of Wonder,Ann Patchett,2011,4.3,"9,859",Hardcover,17.58
271,76,A Visit from the Goon Squad,Jennifer Egan,2011,4.0,"10,427",Paperback,10.82
272,77,"Prevent And Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",,2011,4.6,Caldwell B. Esselstyn Jr.,Paperback,12.79
273,78,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,2011,4.9,"112,387",Paperback,45.44
274,79,Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels),Janet Evanovich,2011,4.5,"9,570",Hardcover,11.99
275,80,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,2011,4.6,"12,909",Paperback,9.66
276,81,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,2011,4.6,"5,707",Hardcover,15.00
277,82,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,2011,4.7,"24,835",Hardcover,13.23
278,83,Room,Emma Donoghue,2011,4.3,"31,316",Paperback,10.32
279,84,Hotel on the Corner of Bitter and Sweet,Jamie Ford,2011,4.5,"14,007",Paperback,11.99
280,85,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2011,4.4,"8,357",Paperback,14.99
281,86,Emotional Intelligence 2.0,Travis Bradberry,2011,4.5,"12,653",Hardcover,14.98
282,87,Outliers: The Story of Success,Malcolm Gladwell,2011,4.6,"35,961",Paperback,16.99
283,88,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,Gene Stone,2011,4.5,"3,205",Paperback,23.49
284,89,The Girl Who Played with Fire: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series),Stieg Larsson,2011,4.6,"25,388",Paperback,9.99
285,90,"Hungry Girl 300 Under 300: 300 Breakfast, Lunch & Dinner Dishes Under 300 Calories",Lisa Lillien,2011,4.4,"1,182",Paperback,22.77
286,91,The Alchemist,Paulo Coelho,2011,4.7,"3,977",Paperback,18.62
287,92,Getting Things Done: The Art of Stress-Free Productivity,David Allen,2011,4.5,"5,249",Paperback,16.70
288,93,The Invention of Hugo Cabret,Brian Selznick,2011,4.8,"3,076",Hardcover,15.69
289,94,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",,2011,3.5,Gallup,Hardcover,18.00
290,95,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,2011,4.5,"8,299",Paperback,9.99
291,96,Smokin' Seventeen (Stephanie Plum),Janet Evanovich,2011,4.5,"7,635",Hardcover,10.60
292,97,,,2011,4.7,"44,900",,
293,98,The Big Short: Inside the Doomsday Machine,Michael Lewis,2011,4.6,"15,986",Paperback,11.95
294,99,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,2011,4.7,"23,862",Paperback,9.99
295,100,The Official Guide for GMAT Review,,2011,4.4,GMAC (Graduate Management Admission Council),Paperback,17.32
296,1,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",E L James,2012,4.2,"111,849",Paperback,13.99
297,2,Fifty Shades Darker,E L James,2012,4.5,"75,918",Paperback,10.41
298,3,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",E L James,2012,4.5,"61,910",Paperback,11.80
299,4,The Hunger Games (Book 1),Suzanne Collins,2012,4.7,"80,788",Paperback,7.19
300,5,StrengthsFinder 2.0,,2012,4.1,Gallup,Hardcover,20.96
301,6,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,2012,4.6,"69,965",Paperback,23.69
302,7,Catching Fire (The Hunger Games),Suzanne Collins,2012,4.7,"64,888",Hardcover,11.64
303,8,Mockingjay (The Hunger Games),Suzanne Collins,2012,4.6,"79,851",Hardcover,11.44
304,9,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,2012,4.7,"20,593",Hardcover,12.72
305,10,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,2012,4.6,"14,261",Hardcover,15.49
306,11,The Hunger Games Trilogy Boxed Set,Suzanne Collins,2012,4.8,"47,121",Hardcover,38.60
307,12,Gone Girl,Gillian Flynn,2012,4.1,"161,550",Hardcover,16.98
308,13,"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,2012,4.8,"31,597",Hardcover,11.37
309,14,The Official SAT Study Guide,,2012,4.4,The College Board,Paperback,
310,15,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2012,4.7,"8,392",Mass Market Paperback,
311,16,Killing Kennedy: The End of Camelot,Bill O'Reilly,2012,4.5,"15,518",Hardcover,19.25
312,17,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2012,4.5,"12,971",Paperback,15.38
313,18,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,2012,4.6,"15,073",Hardcover,11.99
314,19,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2012,4.7,"75,431",Hardcover,15.68
315,20,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,,2012,4.4,Eben Alexander,Paperback,11.39
316,21,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2012,4.7,"4,964",Paperback,
317,22,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,2012,4.8,"2,550",Hardcover,18.29
318,23,"Thinking, Fast and Slow",Daniel Kahneman,2012,4.6,"40,490",Hardcover,19.49
319,24,The Casual Vacancy,J.K. Rowling,2012,3.6,"20,714",Hardcover,12.69
320,25,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,2012,4.7,"24,230",Paperback,10.59
321,26,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,2012,4.6,"37,122",Hardcover,15.61
322,27,Steve Jobs,Walter Isaacson,2012,4.7,"23,436",Hardcover,18.29
323,28,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,2012,4.4,"10,839",Hardcover,13.69
324,29,"Oh, the Places You'll Go!  ",Dr. Seuss,2012,4.9,"48,035",Hardcover,7.49
325,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,2012,4.6,Stephen R. Covey,Paperback,24.99
326,31,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,2012,4.6,Patrick Lencioni,Hardcover,20.14
327,32,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,2012,4.5,"32,115",Hardcover,15.10
328,33,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,2012,4.4,"15,470",Paperback,6.84
329,34,The Racketeer,John Grisham,2012,4.2,"69,480",Hardcover,17.38
330,35,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now! (The Dr. Mark Hyman Library, 1)",Mark Hyman M.D.,2012,4.3,"2,718",Hardcover,15.99
331,36,"Goodnight, Goodnight, Construction Site",Sherri Duskey Rinker,2012,4.9,"22,805",Hardcover,11.40
332,37,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2012,4.6,"27,816",Paperback,13.09
333,38,The Fault in Our Stars,John Green,2012,4.6,"160,020",Hardcover,10.80
334,39,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,2012,4.8,"10,136",Hardcover,11.29
335,40,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,2012,4.6,"5,454",Hardcover,12.00
336,41,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012,4.4,"72,398",Hardcover,23.00
337,42,Winter of the World: Book Two of the Century Trilogy,Ken Follett,2012,4.5,"48,802",Hardcover,15.99
338,43,The Pioneer Woman Cooks―Food from My Frontier,Ree Drummond,2012,4.8,"4,844",Hardcover,14.10
339,44,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,2012,4.5,"10,236",Hardcover,22.49
340,45,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,2012,4.6,"24,987",Paperback,10.49
341,46,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2012,4.9,"43,004",Hardcover,8.89
342,47,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",,2012,4.5,Joel Fuhrman MD,Paperback,12.99
343,48,Thomas Jefferson: The Art of Power,Jon Meacham,2012,4.5,"4,059",Hardcover,18.96
344,49,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2012,4.5,"8,445",Hardcover,18.29
345,50,The Amateur,Edward Klein,2012,4.4,"3,302",Hardcover,9.64
346,51,The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,Deb Perelman,2012,4.7,"1,970",Hardcover,18.29
347,52,What to Expect When You're Expecting,Heidi Murkoff,2012,4.8,"32,912",Paperback,17.43
348,53,The Walking Dead: Compendium One,Robert Kirkman,2012,4.8,"8,694",Paperback,38.99
349,54,The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,Nate Silver,2012,4.4,"3,704",Hardcover,19.82
350,55,How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),The Oatmeal,2012,4.5,"12,824",Paperback,7.77
351,56,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,2012,4.6,"47,713",Hardcover,19.00
352,57,America Again: Re-becoming the Greatness We Never Weren't,Stephen Colbert,2012,4.3,651,Hardcover,13.02
353,58,LEGO NINJAGO: Character Encyclopedia,,2012,4.5,DK Publishing,Hardcover,
354,59,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,2012,4.5,"42,393",Hardcover,19.50
355,60,Outliers: The Story of Success,Malcolm Gladwell,2012,4.6,"35,961",Paperback,16.99
356,61,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,2012,4.5,884,Paperback,17.45
357,62,Bared to You,Sylvia Day,2012,4.4,"32,524",Paperback,19.00
358,63,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2012,4.7,"107,961",Paperback,7.74
359,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,2012,4.5,"2,625",Hardcover,15.52
360,65,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,,2012,4.3,Mike Moreno,Hardcover,18.98
361,66,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2012,4.7,"2,262",Paperback,17.16
362,67,Go the F**k to Sleep,Adam Mansbach,2012,4.8,"22,520",Hardcover,13.38
363,68,Bring Up the Bodies,Hilary Mantel,2012,4.5,"18,761",Hardcover,16.25
364,69,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",Jim Collins,2012,4.6,"1,594",Hardcover,15.69
365,70,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,,2012,4.5,Joel Fuhrman MD,Mass Market Paperback,17.99
366,71,"Reflected in You (Crossfire, Book 2)",Sylvia Day,2012,4.6,"23,743",Paperback,16.00
367,72,Who Moved My Cheese,Spencer Johnson,2012,4.6,"24,704",Hardcover,12.99
368,73,The Book Thief,Markus Zusak,2012,4.6,"67,269",Paperback,7.83
369,74,A Guide to the Project Management Body of Knowledge,Project Management Institute,2012,4.4,755,Paperback,13.00
370,75,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,2012,4.2,"9,096",Hardcover,14.25
371,76,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",Charlaine Harris,2012,4.5,"6,733",Hardcover,17.40
372,77,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,2012,4.6,"11,999",Paperback,16.99
373,78,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,Gene Stone,2012,4.5,"3,205",Paperback,23.49
374,79,The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,2012,4.9,"12,651",Hardcover,11.69
375,80,Notorious Nineteen: A Stephanie Plum Novel,Janet Evanovich,2012,4.5,"14,612",Hardcover,14.70
376,81,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",Timothy Ferriss,2012,4.5,"3,212",Hardcover,28.31
377,82,Cloud Atlas,David Mitchell,2012,4.3,"11,192",Paperback,11.69
378,83,The Alchemist,Paulo Coelho,2012,4.7,"3,977",Paperback,18.62
379,84,The Hunger Games,Suzanne Collins,2012,4.7,"80,788",Hardcover,12.79
380,85,"Help, Thanks, Wow: The Three Essential Prayers",Anne Lamott,2012,4.6,"3,035",Hardcover,10.70
381,86,Wonder,R. J. Palacio,2012,4.7,"83,319",Hardcover,9.40
382,87,"Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever",Woo Myung,2012,4.0,57,Hardcover,
383,88,"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story",Mary C. Neal,2012,4.5,"6,837",Paperback,9.39
384,89,"Forks Over Knives―The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",Del Sroufe,2012,4.5,"13,679",Paperback,10.99
385,90,Catching Fire (Hunger Games),Suzanne Collins,2012,4.7,"64,888",Paperback,
386,91,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",Robert Jordan,2012,4.8,"26,092",Hardcover,20.99
387,92,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,2012,4.7,"20,981",Hardcover,11.88
388,93,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,2012,4.6,"12,909",Paperback,9.66
389,94,The Passage of Power: The Years of Lyndon Johnson,Robert A. Caro,2012,4.7,"2,378",Hardcover,35.78
390,95,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,2012,4.8,"5,748",Hardcover,14.39
391,96,"Divine Healing Hands: Experience Divine Power to Heal You, Animals, and Nature, and to Transform All Life (Soul Power)",,2012,4.6,Zhi Gang Sha Dr.,Hardcover,17.31
392,97,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",,2012,4.7,Thomas Campbell,Paperback,
393,,,,2012,,,,
394,99,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Timothy Keller,2012,4.8,"7,957",Hardcover,21.49
395,100,Night (Night),Elie Wiesel,2012,4.7,"20,176",Paperback,6.27
396,1,StrengthsFinder 2.0,,2013,4.1,Gallup,Hardcover,20.96
397,2,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,2013,4.5,"17,084",Hardcover,14.94
398,3,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,2013,4.6,"26,426",Hardcover,
399,4,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,2013,4.9,"10,201",Hardcover,11.36
400,5,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2013,4.9,"43,004",Hardcover,8.89
401,6,Inferno: A Novel (Robert Langdon),Dan Brown,2013,4.2,"82,437",Hardcover,15.59
402,7,"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,2013,4.8,"34,146",Hardcover,12.20
403,8,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,2013,4.6,"11,066",Hardcover,11.96
404,9,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,2013,4.4,"15,470",Paperback,6.84
405,10,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,2013,4.5,"21,075",Hardcover,19.39
406,11,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,,2013,4.4,Eben Alexander,Paperback,11.39
407,12,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,2013,4.7,"13,022",Paperback,
408,13,The Official SAT Study Guide,,2013,4.4,The College Board,Paperback,
409,14,The Fault in Our Stars,John Green,2013,4.6,"160,020",Hardcover,10.80
410,15,The Book Thief,Markus Zusak,2013,4.6,"67,269",Paperback,7.83
411,16,Wonder,R. J. Palacio,2013,4.7,"83,319",Hardcover,9.40
412,17,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2013,4.7,"4,964",Paperback,
413,18,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2013,4.5,"12,971",Paperback,15.38
414,19,Divergent,Veronica Roth,2013,4.7,"17,844",Paperback,12.85
415,20,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2013,4.6,"11,767",Paperback,4.99
416,21,"Oh, the Places You'll Go!  ",Dr. Seuss,2013,4.9,"48,035",Hardcover,7.49
417,22,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,2013,4.4,"13,530",Hardcover,9.99
418,23,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2013,4.7,"8,392",Mass Market Paperback,
419,24,Allegiant,Veronica Roth,2013,4.1,"66,896",Hardcover,11.72
420,25,And the Mountains Echoed,Khaled Hosseini,2013,4.3,"40,057",Hardcover,12.98
421,26,Humans of New York,Brandon Stanton,2013,4.8,"5,582",Hardcover,15.67
422,27,The Legend of Zelda: Hyrule Historia,,2013,4.9,Patrick Thorpe,Hardcover,25.49
423,28,Doctor Sleep: A Novel,Stephen King,2013,4.6,"41,120",Hardcover,14.89
424,29,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,2013,4.5,"5,945",Paperback,4.99
425,30,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,2013,4.1,"124,189",Hardcover,18.50
426,31,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2013,4.7,"107,961",Paperback,7.74
427,32,Gone Girl,Gillian Flynn,2013,4.1,"161,550",Hardcover,16.98
428,33,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,2013,4.5,"10,558",Hardcover,15.52
429,34,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,2013,4.5,"32,115",Paperback,12.85
430,35,"Goodnight, Goodnight, Construction Site",Sherri Duskey Rinker,2013,4.9,"22,805",Hardcover,11.40
431,36,Sycamore Row (Jake Brigance),John Grisham,2013,4.4,"92,903",Hardcover,16.77
432,37,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,2013,4.4,"10,839",Hardcover,13.69
433,38,"The Pioneer Woman Cooks―A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,2013,4.8,"5,159",Hardcover,15.67
434,39,The Day the Crayons Quit,Drew Daywalt,2013,4.8,"22,782",Hardcover,9.40
435,40,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,2013,4.7,"5,883",Hardcover,13.20
436,41,The Very Hungry Caterpillar,Eric Carle,2013,4.9,"59,834",Board book,5.57
437,42,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",,2013,4.7,Brené Brown,Hardcover,14.24
438,43,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,2013,4.6,Stephen R. Covey,Paperback,24.99
439,44,Joyland (Hard Case Crime),Stephen King,2013,4.5,"16,808",Paperback,14.95
440,45,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",E L James,2013,4.2,"111,849",Paperback,13.99
441,46,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",Zhi Gang Sha,2013,4.6,289,Hardcover,14.00
442,47,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,,2013,4.2,Ian K. Smith M.D.,Hardcover,12.00
443,48,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,2013,4.6,"12,884",Paperback,12.09
444,49,To Kill a Mockingbird,Harper Lee,2013,4.7,"130,590",Mass Market Paperback,21.34
445,50,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,2013,4.6,Patrick Lencioni,Hardcover,20.14
446,51,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2013,4.7,"75,431",Hardcover,15.68
447,52,Ender's Game (The Ender Quintet),Orson Scott Card,2013,4.6,"39,932",Mass Market Paperback,
448,53,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,2013,4.7,"40,372",Paperback,12.85
449,54,"The Cuckoo's Calling (A Cormoran Strike Novel, 1)",Robert Galbraith,2013,4.2,"71,119",Hardcover,15.25
450,55,What to Expect When You're Expecting,Heidi Murkoff,2013,4.8,"32,912",Paperback,17.43
451,56,America the Beautiful: Rediscovering What Made This Nation Great,,2013,4.7,Ben Carson  M.D.,Paperback,7.61
452,57,The Liberty Amendments: Restoring the American Republic,Mark R. Levin,2013,4.8,"4,338",Hardcover,13.99
453,58,ZEALOT: The Life and Times of Jesus of Nazareth,Reza Aslan,2013,4.4,"10,817",Hardcover,15.52
454,59,The One and Only Ivan: A Newbery Award Winner,,2013,4.8,Katherine Applegate,Hardcover,10.64
455,60,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2013,4.5,"8,445",Hardcover,18.29
456,61,SI-COLOGY 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle,Si Robertson,2013,4.7,"2,568",Hardcover,9.90
457,62,"IT'S ALL GOOD: Delicious, Easy Recipes That Will Make You Look Good and Feel Great",Gwyneth Paltrow,2013,4.5,"1,471",Hardcover,24.90
458,63,Outliers: The Story of Success,Malcolm Gladwell,2013,4.6,"35,961",Paperback,16.99
459,64,Jerusalem: A Cookbook,Yotam Ottolenghi,2013,4.8,"5,553",Hardcover,19.29
460,65,"Becoming a Supple Leopard: Movement, Mobility, and Maintenance of the Human Animal",,2013,4.7,Kelly Starrett,Hardcover,50.41
461,66,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",,2013,4.5,David Perlmutter MD,Hardcover,13.95
462,67,Looking for Alaska,John Green,2013,4.5,"31,761",Paperback,7.64
463,68,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,2013,4.5,"19,928",Hardcover,18.20
464,69,Love You Forever,Robert Munsch,2013,4.9,"59,707",Paperback,4.98
465,70,The Perks of Being a Wallflower,Stephen Chbosky,2013,4.7,"38,357",Paperback,11.22
466,71,Practical Paleo: A Customized Approach to Health and a Whole-Foods Lifestyle,,2013,4.6,Diane Sanfilippo,Paperback,11.98
467,72,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,2013,4.6,"69,965",Paperback,23.69
468,73,"The FastDiet: Lose Weight, Stay Healthy, and Live Longer with the Simple Secret of Intermittent Fasting",,2013,4.3,Dr Dr Michael Mosley,Hardcover,12.88
469,74,The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,2013,4.9,"12,651",Hardcover,11.69
470,75,Divergent / Insurgent,Veronica Roth,2013,4.5,"60,255",Hardcover,9.44
471,76,How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,2013,4.7,"111,894",Paperback,10.30
472,77,"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",Doris Kearns Goodwin,2013,4.5,"4,151",Hardcover,23.74
473,78,The Hunger Games (Book 1),Suzanne Collins,2013,4.7,"80,788",Paperback,7.19
474,79,ObamaCare Survival Guide: The Affordable Care Act and What It Means for You and Your Healthcare,,2013,3.8,Nick J. Tate,Paperback,9.99
