,Rank,Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
55,58,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,2009,4.8,"5,748",Hardcover,14.39
56,59,The Book Thief,Markus Zusak,2009,4.6,"67,269",Paperback,7.83
57,60,South of Broad,Pat Conroy,2009,4.5,"4,074",Hardcover,15.12
58,61,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,2009,4.6,"5,203",Paperback,10.59
59,62,The Host,Stephenie Meyer,2009,4.6,"13,322",Hardcover,15.99
60,63,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,Jillian Michaels,2009,4.3,"1,037",Hardcover,9.84
61,64,Ford County: Stories,John Grisham,2009,4.4,"8,075",Hardcover,13.57
62,65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",Michelle Malkin,2009,4.6,"1,120",Hardcover,8.87
63,66,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2009,4.5,"12,910",Paperback,12.73
64,67,"Diary of a Wimpy Kid, Book 1",Jeff Kinney,2009,4.6,"27,221",Hardcover,12.28
65,68,The Graveyard Book,Neil Gaiman,2009,4.7,"14,205",Hardcover,10.05
66,69,An Echo in the Bone (Outlander),Diana Gabaldon,2009,4.7,"34,313",Hardcover,25.99
67,70,"The Gathering Storm (Wheel of Time, Book 12)",Robert Jordan,2009,4.8,"12,902",Hardcover,20.99
68,71,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,2009,4.7,"10,531",Paperback,10.70
69,72,Pirate Latitudes: A Novel,Michael Crichton,2009,4.2,"6,633",Hardcover,15.98
70,73,The Official SAT Study Guide: For the New SAT (tm),,2009,4.4,The College Board,Paperback,71.93
71,74,Getting Things Done: The Art of Stress-Free Productivity,David Allen,2009,4.5,"5,249",Paperback,16.70
72,75,How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,2009,4.7,"111,894",Paperback,10.30
73,76,The Official SAT Study Guide,,2009,4.4,The College Board,Paperback,
74,77,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),Janet Evanovich,2009,4.5,"7,298",Hardcover,10.50
75,78,Sarah's Key,Tatiana de Rosnay,2009,4.5,"11,119",Paperback,10.25
76,79,From Dead to Worse (Sookie Stackhouse/True Blood),Charlaine Harris,2009,4.6,"3,331",Mass Market Paperback,7.99
77,80,Wolf Hall,Hilary Mantel,2009,4.2,"20,006",Hardcover,23.35
78,81,The Hunger Games,Suzanne Collins,2009,4.7,"80,788",Hardcover,12.79
79,82,The Yankee Years,Joe Torre,2009,4.6,516,Hardcover,14.79
80,83,Push: A Novel,Sapphire,2009,4.6,"1,519",Paperback,
81,84,The End of Overeating: Taking Control of the Insatiable American Appetite,David Kessler,2009,4.3,"1,121",Hardcover,14.94
82,85,The Lacuna: A Novel,Barbara Kingsolver,2009,4.4,"3,780",Hardcover,19.99
83,86,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,2009,4.5,792,Paperback,20.99
84,87,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Nicholas D. Kristof,2009,4.6,"2,984",Hardcover,8.98
85,88,The Associate,John Grisham,2009,4.4,"7,305",Hardcover,9.00
86,89,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,Jeff Hertzberg,2009,4.7,"2,264",Hardcover,20.45
87,90,Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),,2009,4.4,Sarah Thomson,Paperback,9.62
88,91,Pursuit of Honor,Vince Flynn,2009,4.6,"8,373",Hardcover,11.92
89,92,What the Dog Saw: And Other Adventures,Malcolm Gladwell,2009,4.4,"3,460",Hardcover,18.18
90,93,The Last Song,Nicholas Sparks,2009,4.6,"6,373",Hardcover,13.25
91,94,Atlas Shrugged,Ayn Rand,2009,4.5,"19,487",Paperback,14.77
92,95,The White Tiger: A Novel,Aravind Adiga,2009,4.2,"11,007",Paperback,10.79
93,96,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",,2009,3.5,Gallup,Hardcover,18.00
94,97,"Same Kind of Different As Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",,2009,4.6,Ron Hall,Paperback,10.24
95,98,U is for Undertow: A Kinsey Millhone Novel,Sue Grafton,2009,4.5,"6,702",Hardcover,12.10
96,99,Catching Fire (The Hunger Games),Suzanne Collins,2009,4.7,"64,888",Hardcover,11.64
97,1,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,2010,4.6,"25,134",Hardcover,12.99
98,2,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,2010,4.5,"31,491",Paperback,10.07
99,3,Decision Points,George W. Bush,2010,4.6,"2,768",Hardcover,13.99
100,4,The Help,Kathryn Stockett,2010,4.7,"33,007",Hardcover,15.00
101,5,The Girl Who Played with Fire: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series),Stieg Larsson,2010,4.6,"25,388",Paperback,9.99
102,6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,2010,4.7,"19,377",Hardcover,10.99
103,7,StrengthsFinder 2.0,,2010,4.1,Gallup,Hardcover,20.96
104,8,Mockingjay (The Hunger Games),Suzanne Collins,2010,4.6,"79,851",Hardcover,11.44
105,9,Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,2010,4.4,"2,651",Hardcover,11.81
106,10,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2010,4.5,"12,971",Paperback,15.38
107,11,"Autobiography of Mark Twain, Vol. 1",Mark Twain,2010,4.4,636,Hardcover,18.17
108,12,The Big Short: Inside the Doomsday Machine,Michael Lewis,2010,4.6,"15,986",Hardcover,15.66
109,13,Food Rules: An Eater's Manual,Michael Pollan,2010,4.4,"4,539",Paperback,13.49
110,14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2010,4.7,"75,431",Hardcover,15.68
111,15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,2010,4.5,"5,206",Hardcover,11.98
112,16,Sh*t My Dad Says,Justin Halpern,2010,4.5,"11,624",Hardcover,14.16
113,17,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2010,4.7,"2,262",Paperback,17.16
114,18,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,2010,4.7,"6,998",Hardcover,14.99
115,19,Life,Keith Richards,2010,4.5,"7,270",Hardcover,
116,20,Cutting for Stone,Abraham Verghese,2010,4.6,"14,710",Paperback,14.10
117,21,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,2010,4.5,594,Hardcover,11.28
118,22,The Official SAT Study Guide,,2010,4.4,The College Board,Paperback,
119,23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,2010,4.5,"1,934",Hardcover,12.00
120,24,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,4.6,"27,816",Hardcover,15.70
121,25,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,2010,4.7,"24,835",Hardcover,13.23
122,26,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,2010,4.5,884,Paperback,17.45
123,27,Outliers: The Story of Success,Malcolm Gladwell,2010,4.6,"35,961",Hardcover,15.69
124,28,Catching Fire (The Hunger Games),Suzanne Collins,2010,4.7,"64,888",Hardcover,11.64
125,29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,2010,4.6,Patrick Lencioni,Hardcover,20.14
126,30,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2010,4.5,"8,445",Hardcover,15.50
127,31,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,2010,4.3,"4,229",Paperback,12.20
128,32,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,2010,4.7,"2,818",Paperback,14.34
129,33,The Confession: A Novel,John Grisham,2010,4.4,"17,935",Hardcover,19.45
130,34,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,2010,4.6,"5,707",Hardcover,15.00
131,35,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,,2010,4.7,Larry Schweikart,Paperback,
132,36,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,2010,4.8,"29,564",Hardcover,10.32
133,37,Switch: How to Change Things When Change Is Hard,Chip Heath,2010,4.6,"5,549",Hardcover,10.49
134,38,The Art of Racing in the Rain: A Novel,Garth Stein,2010,4.6,"31,722",Paperback,10.78
135,39,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2010,4.7,"4,964",Paperback,
136,40,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,2010,4.4,527,Hardcover,9.75
137,41,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,2010,4.5,"8,299",Hardcover,15.49
138,42,"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,2010,4.7,"9,719",Hardcover,14.35
139,43,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,2010,4.7,"2,085",Paperback,36.30
140,44,Little Bee: A Novel,Chris Cleave,2010,4.2,"3,654",Paperback,8.20
141,45,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,2010,4.7,"1,525",Hardcover,18.29
142,46,George Washington's Sacred Fire,Peter A. Lillback,2010,4.6,644,Paperback,
143,47,Radical: Taking Back Your Faith from the American Dream,David Platt,2010,4.7,"3,271",Paperback,9.36
144,48,"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,2010,4.8,"14,257",Hardcover,21.99
145,49,Sarah's Key,Tatiana de Rosnay,2010,4.5,"11,119",Paperback,10.25
146,50,The Hunger Games,Suzanne Collins,2010,4.7,"80,788",Hardcover,12.79
147,51,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,2010,4.6,Stephen R. Covey,Paperback,24.99
148,52,Cleopatra: A Life,Stacy Schiff,2010,4.2,"2,278",Hardcover,11.42
149,53,Freedom: A Novel,Jonathan Franzen,2010,4.2,"5,794",Hardcover,17.00
150,54,Freedom,Jonathan Franzen,2010,4.2,"5,794",Hardcover,13.69
151,55,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,2010,4.7,"23,862",Hardcover,19.79
152,56,Fall of Giants (The Century Trilogy),Ken Follett,2010,4.4,"50,689",Hardcover,23.74
153,57,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,2010,4.4,"15,220",Paperback,15.99
154,58,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,2010,4.4,"15,220",Paperback,13.31
155,59,Tao I: The Way of All Life,,2010,4.4,Zhi Gang Sha Dr.,Hardcover,14.80
